,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2025_MAWS_524151_16,MAWS||Thiruverkadu Municipality,"Municipal Office, Thiruverkadu, Chennai",Supply and Fixing of 14 Nos of CCTV Camera at Coovum River Bed in Thiruverkadu Municipal Area,2025-01-23 09:00,2025-02-13 15:00,8000,,800000,12-02-2025 10:40:57,Tntenders GOV NIC BOT
1,2025_MAWS_524151_17,MAWS||Thiruverkadu Municipality,"Municipal Office, Thiruverkadu, Chennai",Supply and Fixing of 16 Nos of CCTV Camera at Thiruverkadu Municipal Office Building,2025-01-23 09:00,2025-02-13 15:00,3000,,300000,12-02-2025 10:41:23,Tntenders GOV NIC BOT
