,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2025_CEEMP_1010931_1,Chief Engineer Electrical Mechanical PWD Lucknow||Superintending Engineer (E/M) Circle PWD Kanpur||Electrical Mechanical Division PWD Kanpur,Banda,Janpad Nayalaya Banda Court Parisar me poorav se eshthapit CCTV Camere va Anya Suraksha Upkarno ke comprehensive Varshik Anurashan karye jane ka karya,2025-02-28 12:00,2025-03-07 12:00,987000,2025-03-03 15:00,NA,28-02-2025 12:32:39,Etenders UP NIC BOT
1,2025_CEEMP_1010741_1,Chief Engineer Electrical Mechanical PWD Lucknow||Superintending Engineer (E/M) Circle PWD Kanpur||Electrical Mechanical Division PWD Kanpur,Chitrakoot,Janpad Chitrakoot me Nav nirmit Circuit House me audio video CCTV Vatanukulan sayantro anya vidhut sambandhi upkarno sayantro ki apoorti awam eshthapana ka karya.,2025-02-28 10:00,2025-03-07 12:00,800000,2025-03-03 15:00,NA,28-02-2025 12:33:15,Etenders UP NIC BOT
2,2025_NOIDA_1008898_1,New Okla Industrial Development Authority,Noida,Comprehensinve Annual Maintenance contract for CCTV and EPABX Work for Command Control Centre Building Near Mahamaya Flyover Sector_94 Noida,2025-02-25 09:00,2025-03-10 17:00,15000,,730000,28-02-2025 12:33:34,Etenders UP NIC BOT
3,2025_RVUNL_1007312_1,UP Rajya Vidyut Utpadan Nigam Ltd||Harduaganj Thermal Power Project- UPRVUNL- Aligarh,Office of the SE OandMC-III ETPS Kasimpur,"Round the clock Routine, Preventive, Breakdown maintenance of entire C and I systems of main Plant and Offsite areas W and WWTP, AHP, CW, ACW, IDCT, FOPH, CAS etc. including C and I system of CCTV, PA, Battery, EPBAX system and Fire Fighting System",2025-02-28 12:33,2025-03-11 17:00,423000,2025-02-27 11:00,42265089,28-02-2025 12:33:52,Etenders UP NIC BOT
4,2025_DOLBU_1006972_1,Directorate of Local Bodies UP||Nagar Palika Parishad Hamirpur Hamirpur,HAMIRPUR,Construction work of CCTV room in Municipal Council Hamirpur.,2025-02-15 17:00,2025-03-10 17:00,97000,2025-02-27 11:00,NA,28-02-2025 12:34:11,Etenders UP NIC BOT
