,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2025_NTPC_93939_1,NTPC Limited||Corporate Centre||Corporate Contracts,"EOC Noida Office EOC, SECTOR-24, NOIDA 201301",SWITCHYARD PKG TELANGANA,2025-01-18 13:20,2025-02-12 17:00,50000000,2025-01-24 11:00,NA,18-01-2025 17:44:21,Eprocurentpc Nic Nicgep BOT
1,2025_NTPC_93699_1,NTPC Limited||Corporate Centre||USSC||CPG-1,"TTPS Talcher, District-Anugul","Construction of New lane and development of parking areas along theBypass road connecting Jagannathpur and ROB at Talcher Thermal PowerProject Stage III, TALCHER THERMAL",2025-01-10 12:00,2025-01-22 15:30,500000,,32230717,18-01-2025 17:44:55,Eprocurentpc Nic Nicgep BOT
