Tender ID,Name,Customer,Stage,Status,inserted Time,Inserted User ID
GEM_2024_B_5297891,"4 MP IP Dome Camera,4 MP IP Bullet Camera,Giga Switch 4 plus 2 Port,Giga Switch 8 Plus 2,Cat 6 Cabl",Ministry of Defence Department of Military Affairs,approved,Not Submitted,16-09-2024 14:05:53,GEM BOT
GEM_2024_B_5299688,Unmanned Aerial Vehicle & Payload Systems for Surveillance,Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,03-10-2024 15:01:57,GEM BOT
GEM_2024_B_5299844,"Bullet Camera,NVR,HDD,Cat 6 Cable 305 Mtr Outdoor,Cat 6 RJ 45 Connector Box of 100 Pcs,Switch 8 Por",Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,08-10-2024 05:10:55,GEM BOT
GEM_2024_B_5303556,"Camera Jibs with Robotic Dutch Heads, Controller, Tripod, Dolly and Linear Tracks for TV Studios",Ministry of Information and Broadcasting Ministry of Information and Broadcasting,rejected,New-Corrigendum,16-09-2024 14:18:47,GEM BOT
GEM_2024_B_5309436,Camera for CCTV System (V2),Panchayats and Rural Housing Department Gujarat,rejected,New-Corrigendum,21-09-2024 13:00:26,GEM BOT
GEM_2024_B_5311906,"PTZ Camera Wifi Enabled Solar Powered Without SIM,Long Range Microwave Motion Detection Sensor,Disp",Ministry of Defence Department of Military Affairs,approved,Not Submitted,08-10-2024 05:17:11,GEM BOT
GEM_2024_B_5316044,"CCTV,NVR,HARD DISK,POE SWITCH,CABLE,INSTALLATION AND COMMISSIONING",Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,16-09-2024 16:51:14,GEM BOT
GEM_2024_B_5320584,"Desktop Computers,Server,Online UPS (V2),Layer 2 Access Switch (V2),Cat 6 Cable for Indoor Use,Liqu",Ministry of Defence Department of Military Affairs,approved,Not Submitted,25-09-2024 12:17:19,GEM BOT
GEM_2024_B_5324273,"INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Theft Prevention, Monitor Operations, Event Video",Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,03-10-2024 15:07:44,GEM BOT
GEM_2024_B_5327022,Custom Bid for Services - SUPPLY AND INSTALLATION OF CCTV CAMERAS ALONG WITH ACCESORIES,Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,16-09-2024 14:07:35,GEM BOT
GEM_2024_B_5329466,Networking Trainer Educational Kit,Technical Education Department Uttar Pradesh,rejected,New-Corrigendum,25-09-2024 09:50:22,GEM BOT
GEM_2024_B_5343233,"CAMERA,NVR,TV,GIGA,RACK,UPS,OFC,CORD,CABLE,POWER CABLE,PIPE,OUTDOOR RACK,SERVER RACK,MEDIA CONVERTE",Ministry of Defence Department of Military Affairs,rejected,,29-10-2024 05:07:48,GEM BOT
GEM_2024_B_5350812,"MFD Black and white,Ink Tank Colour Printer,Desktop all in one PC i3 Monitor Keyboard Mouse,LAN Por",Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,03-10-2024 14:31:38,GEM BOT
GEM_2024_B_5354317,Camera Cover,Ministry of Railways Indian Railways,rejected,New-Corrigendum,21-09-2024 13:05:01,GEM BOT
GEM_2024_B_5356890,PROCUREMENT AND INSTLLATION OF SECURITY & SURVEILLANCE SYSTEM AT ARSR RADAR,Ministry of Defence Department of Military Affairs,rejected,,30-10-2024 13:19:44,GEM BOT
GEM_2024_B_5357507,"2MP IP Bullet Camera,4MP IP Bullet Camera,4 Port PoE,4 Port Gigabyte Switch,Back Box,1 KVA UPS Ofli",Ministry of Defence Department of Military Affairs,rejected,Not Submitted,21-09-2024 13:12:09,GEM BOT
