Tender ID,Name,Customer,Stage,Status,inserted Time,Inserted User ID
GEM_2024_B_5188995,"Bullet IP Camera 2MP with 30 Mtr IR,Weather Proof Rack,Power Cable 2 Core,GI Wire,OTE 10 and 100 SM",Ministry of Defence Department of Defence,closed,Close-LOSE,14-08-2024 13:13:47,GEM BOT
GEM_2024_B_5411991,Custom Bid for Services - COMPREHENSIVE AMC FOR CCTV SYSTEM INCLUDING ALL HARDWARE AND SOFTWARE INSTALLED IN GAIL VSPL ALL REGIONS CHERLAPALLY GKONDURU AND VISAKHAPATNAM FOR 2 YEARS,"Gail India Limited,Visakhapatnam",closed,Close-LOSE,19-09-2024 11:52:34,Preetinder
GEM_2024_B_5442615,Custom Bid for Services - CAMC of Internet Network,Ministry of Defence Department of Defence Research & Development,closed,Close-LOSE,08-10-2024 05:30:16,GEM BOT
