tender_id,name_of_work,customer,inserted_time,inserted_user_id,verification_1,done
2023_UAD_268048_3,Augmentation of Water Supply Works for Newton Chikhli Kalan Under Amrut 2.0 - 3rd Call,Directorate Urban Administration and Development||Join Director-Jabalpur Division - UAD||Chhindwara-Nagar Parishad Newton Chikhli - UAD,20-01-2024 07:33:32,Mptenders GOV BOT,rejected,
2023_UAD_301995_2,"Providing, laying and Jointing of Distribution network of 300 mm K-7 D.I. Pipe Line with labour and material. Site ward 48. File no 159/23x9/1. 2nd Call",Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Gwalior - UAD||Water Supply (PHE) Deptt. - MC Gwalior - UAD,26-01-2024 07:55:20,Mptenders GOV BOT,rejected,
2023_UAD_312499_2,"Supply and installation of LED light and laying of street light cable network at Gourishankar Parisor Katara Ward No.85 Zone No.19, Bhopal. (Second Call)",Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Bhopal - UAD||Lighting Section - MC Bhopal- UAD,07-01-2024 08:06:13,Mptenders GOV BOT,rejected,Open
2023_UAD_320504_1,providing and Installing decorative pole with top lantern LED fitting at sagra mandir road,Directorate Urban Administration and Development||Join Director- Shehdol Division - UAD||Umaria-Nagar Palika Umaria - UAD,24-12-2023 07:39:29,Mptenders GOV BOT,rejected,Open
2023_ZPHD_628842_7,Construction of Grey Water Management System with Cover and Soakpit from Hazari para Krishna Shop Towards Chanchal ghosh Land at Briddhapara Wo,Zilla Parishad||Zilla Parishad||PURBA BARDHAMAN||KALNA- I||ATGHORIA SIMLON,27-01-2024 02:37:04,WBtenders GOV NICGEP BOT,rejected,
2024_APGCL_35655_1,"Supply of Various Consumable Materials for Karbi Langpi Hydro Electric Project (KLHEP), APGCL.",Assam Power Generation Company Limited,24-01-2024 02:30:22,Assam GOV NICGEP BOT,rejected,
2024_BandR_790236_1,"Civil Work including Electrical work, Sanitary AND Plumbing, External Water Supply System, Fire Protection System, Street Light, DG Set, CCTV, Landscaping and other Allied Works etc",Bridge and Roof Company (India) Limited||Corporate Head Quarters Kolkata Office - B and R,13-01-2024 02:54:30,Centerl GOV BOT,rejected,Open
2024_BCCL_298970_1,"Complete repairing of 550V, 400Amps, ACB switch Sl. No. 217C/NFLP/98, make-Andrew yule of Bhowra (south) Colliery.",Bharat Coking Coal Limited||BCCL_EJ AREA,20-01-2024 03:09:31,Coalindiatenders NIC Nicgep BOT,rejected,
2024_BCCL_298987_1,"Complete repairing/over hauling of 400Amp (LT) 440V oil CKT breaker switch, Sl No 30/0114, make - GEC of patherdih VI seam sub station under ASP Colliery",Bharat Coking Coal Limited||BCCL_EJ AREA,20-01-2024 03:09:50,Coalindiatenders NIC Nicgep BOT,rejected,
2024_BCCL_299498_1,"MAINTENANCE OF OLD WIRING AND INSTALLATION OF REQUIRED NEW WIRING AND FITTING OF SWITCHES SOCKET MCB,S ETC IN COMPANY QUARTER ALLOTTED TO SHRI DULAL CHANDRA BISWAS,PERS NO.61321199 AT SALANPUR COLLIERY OF KATRAS AREA.",Bharat Coking Coal Limited||BCCL_KATRAS AREA,26-01-2024 03:00:52,Coalindiatenders NIC Nicgep BOT,rejected,
2024_BoTC_35691_1,"Construction of 4 Nos. of ACR (G 1)at Naokata Milan Higher Secondary school, Baksa under BTC, funded by Samagra Siksha, Assam for the year 2023-24.",Bodoland Territorial Council||Education-BTC,26-01-2024 02:31:08,Assam GOV NICGEP BOT,rejected,
2024_BoTC_35717_1,"Request for Proposal to Select an Agency Development of Sanitary Landfill (SLF), at Kajalgaon, Assam",Bodoland Territorial Council||Urban Development Town and Country Planning-BTC,26-01-2024 02:30:26,Assam GOV NICGEP BOT,rejected,
2024_BSF_791573_1,Construction of 01 Nos (Gplus1) Surveillance Cum OP Points at BOP Panithar and 02 Nos (Gplus2) Surveillance Cum OP Point at BOP Gojadanga and Khalshi in AOR of 102 Bn BSF under SHQBSF Kolkata,"DG,BSF,MHA||South Bengal(Kolkata),BSF,MHA",26-01-2024 03:54:58,Centerl GOV BOT,rejected,
2024_BSF_791575_1,Construction of 02 Nos (Gplus2) Surveillance Cum OP Points at BOP Barunhat and Taki of 85 BN BSF under SHQ BSF Kolkata,"DG,BSF,MHA||South Bengal(Kolkata),BSF,MHA",26-01-2024 03:55:18,Centerl GOV BOT,rejected,
2024_BTVP_884547_1,JANPAD MATHURA ME GOVERDHAN BUS STATION PARISAR STISTH MULTILAVEL CAR PARKING KE DAINIK SANCHALAN AVM RAKHRAKHAV KA KARYA,Uttar Pradesh Braj Tirath Vikas Parishad,24-01-2024 05:10:49,Etenders UP NIC BOT,rejected,
2024_CCL_297652_1,Extension of existing WAN network through wi-fi for providing internet facility to the biometric attendance system at Dhori Area,Central Coalfields Limited||Dhori,05-01-2024 03:08:13,Coalindiatenders NIC Nicgep BOT,rejected,Open
2024_CCL_299284_6,Network connectivity for New 100 ton Weighbridge installed at AADOCM Project Dhori Area.,Central Coalfields Limited||Dhori,27-01-2024 03:08:58,Coalindiatenders NIC Nicgep BOT,rejected,
2024_CEALD_882655_5,Renewal of Raniganj Patti Road To Jamtali Shuklan Basti Link Road,Cheif Engineer Allahabad Zone PWD Allahabad||SE PRATAPGARH CIRCLE PWD PRATAPGARH||EE PROVINCIAL DIVISION PWD PRATAPGARH,26-01-2024 05:54:51,Etenders UP NIC BOT,rejected,
2024_CEALG_884605_1,Renewal of Borrakalan to Jalukheda Road in FY 2023-24,Chief Engineer Aligarh Zone PWD Aligarh||Superintending Engineer Aligarh Circle PWD Aligarh||Construction Division - 1 PWD Etah,26-01-2024 05:51:33,Etenders UP NIC BOT,rejected,
2024_CEALG_885543_1,Re Construction work on Etah Nidhauli Kalan road to Javaharpur Arthara road in financial year 2023-24,Chief Engineer Aligarh Zone PWD Aligarh||Superintending Engineer Aligarh Circle PWD Aligarh||Provincial Division PWD Etah,26-01-2024 05:31:34,Etenders UP NIC BOT,rejected,
2024_CEBLY_879161_2,Special Repair of Kalan Paroor Road to Sathri Dharmpur Link Road,Cheif Engineer Bareilly Zone PWD Bareilly||SE BAREILLY CIRCLE PWD BAREILLY ||EE CONSTRUCTION DIVISION-1 PWD SHAHJAHANPUR,22-01-2024 08:57:19,Tendersodisha GOV BOT,rejected,
2024_CEDPW_882882_11,Special Repair Work Of Jhala Kalan Link Road In District Bahraich Using Dept. HMP (Vidhan Sabha-Nanpara),Chief Engineer Devipatan (Gonda) Zone PWD Gonda||SE Bahraich - Shravasti Circle PWD Bahraich,20-01-2024 05:12:16,Etenders UP NIC BOT,rejected,
2024_CEEMP_883347_1,Gorakhpur ke annexy bhawan ke pratham tal par conferrencing hall ke nirman mein audio video system ewam cctv ki sthapana ka karya,Chief Engineer Electrical Mechanical PWD Lucknow||44th Circle Electrical Mechanical PWD Varanasi||Electrical Mechanical Division PWD Gorakhpur,21-01-2024 05:10:18,Etenders UP NIC BOT,rejected,
2024_CEEMP_884465_1,Vidhan Bhawan esthith Mukhya Bhawan Bhutal Vidhan Parishad evm shesh anaya kaksho hetu sthapit kendriya vatanukulan sayantra ke renovation ka karya,Chief Engineer Electrical Mechanical PWD Lucknow||30th Circle Electrical Mechanical PWD Lucknow,26-01-2024 05:53:14,Etenders UP NIC BOT,rejected,
2024_CEGKP_883115_11,Construction of GM Road 04 Lane (Basahiya) to Pachdeuri Link Road (with 05 year Maintainance) Lot No 11 of 11,Chief Engineer Gorakhpur Zone PWD Gorakhpur UP||GORAKHPUAR CIRCLE PWD GORAKHPUR,21-01-2024 05:12:58,Etenders UP NIC BOT,rejected,
2024_CEGKP_884039_1,Constrcution of gate on 04 lane road on the border of Lucknow Gopalganj Muzzaffarpur NH-27 Intersate- International Road in Dist Kushinagar in FY 2023-24,Chief Engineer Gorakhpur Zone PWD Gorakhpur UP||SE DEORIA CIRCLE PWD DEORIA,24-01-2024 05:17:54,Etenders UP NIC BOT,rejected,
2024_CEGKP_884356_46,-Renewal of Bhaghadeeha Bhitakalan to Mahuware Road,Chief Engineer Gorakhpur Zone PWD Gorakhpur UP||SE BASTI CIRCLE PWD BASTI||EE CONSTRUCTION DIVISION PWD BASTI,26-01-2024 05:43:25,Etenders UP NIC BOT,rejected,
2024_CEGKP_884748_18,Mahuava gram link road,Chief Engineer Gorakhpur Zone PWD Gorakhpur UP||SE DEORIA CIRCLE PWD DEORIA||EE CONSTRUCTION DIVISION PWD KUSHINAGAR,27-01-2024 06:51:11,Etenders UP NIC BOT,rejected,
2024_CEJNS_884464_18,Renewal work along with general repair of Inguwa ka Majra Chandelan Purwa Link Road in Km-1(450),Chief Engineer Jhansi Zone PWD Jhansi UP||CHITRAKOOT DHAAM MANDAL - BANDA CIRCLE PWD BANDA||PROVINCIAL DIVISION PWD BANDA,26-01-2024 05:41:52,Etenders UP NIC BOT,rejected,
