tender_id,name_of_work,customer,inserted_time,inserted_user_id
GEM_2024_B_4507248,"CCTV Camera,NVR,Hard Disk Surveillance,Switch,Cat 6 cable,PVC Box,HDMI cable",Ministry of Defence Department of Military Affairs,20-01-2024 05:07:10,GEM BOT
GEM_2024_B_4504570,"All in One Computer,NAS, Network Work Storage 2 bay,HDD, HDD 6TB,UPS, 1000 VA,Mouse,Wired mouse wit",Ministry of Defence Department of Military Affairs,20-01-2024 05:08:05,GEM BOT
GEM_2024_B_4508211,Surveillance Hard disk,Ministry of Electronics and Information Technology Department of Electronics and Information Technology,20-01-2024 05:07:16,GEM BOT
GEM_2024_B_4509237,"IR BULLET 4 MP 50Mtr FUL HD Color,32 CH NVR HD,6 TB WD HHD Surveillance,POE SWITCH 8CH,Camera Box 4",Department of Panchayati Raj,20-01-2024 05:07:26,GEM BOT
GEM_2024_B_4502392,Custom Bid for Services - AMC of Telephone Outdoor Network,Ministry of Petroleum and Natural Gas NA,20-01-2024 05:08:30,GEM BOT
GEM_2024_B_4503399,"Annual Maintenance Contract for Networking Devices (Version 2) - L3 Switch; D Link DES 7210,Annual ",Ministry of Defence Department of Defence Research & Development,20-01-2024 05:08:22,GEM BOT
GEM_2024_B_4486404,"Hiring of Professionals for Cloud, Network and Security - Network related roles; Network Support En",Ministry of Mines NA,20-01-2024 05:08:36,GEM BOT
GEM_2024_B_4509343,AMC of Integrated Security and Surveillance System - CAMC of CCTV and ACCESS CONTROL SYSTEM; Compre,Ministry of Civil Aviation Airports Authority of India (AAI),20-01-2024 05:07:43,GEM BOT
GEM_2024_B_4507980,Custom Bid for Services - CAMC FOR SERVERS  NETWORK ATTACHED STORAGE NAS 14 NOS AT HAL OVERHAUL DIV,Ministry of Defence Department of Defence Production,20-01-2024 05:08:43,GEM BOT
GEM_2023_B_4409733,AMC of Integrated Security and Surveillance System - Maintenance and Operation support services for,PMO Department of Atomic Energy,20-01-2024 05:07:51,GEM BOT
GEM_2024_B_4505613,"EXHAUST BRAKE SENSOR,MASTER SWITCH,WATER SEPARATOR,SELF PINION,CLUTCH ASSY,4 X 4 CABLE,ARMATURE,BRU",Ministry of Defence Department of Military Affairs,20-01-2024 05:09:44,GEM BOT
GEM_2024_B_4505589,"REGULATOR SR 40,CARBON BUSH,OUTPUT FLANGE,FLANGED NUT,OIL SEAL,OUTER HANDLE,FUEL CUT OFF SWITCH,ROT",Ministry of Defence Department of Military Affairs,20-01-2024 05:09:53,GEM BOT
GEM_2024_B_4506278,"Filter,Oil Seal Rear Differential Drive,Switch Exhaust Brake,Assy Blinker Lamp with Bulb Rh,Field C",Ministry of Defence Department of Military Affairs,20-01-2024 05:10:34,GEM BOT
GEM_2024_B_4506346,"DRYING AND DISTRI UNIT,FILTER ASSY,ASSY SEALING MOULD,THRMOSTATE,BTY CUT OFF SWITCH,ASSY WIPER BLAD",Ministry of Defence Department of Military Affairs,20-01-2024 05:10:43,GEM BOT
GEM_2024_B_4506245,"Wire,Wire,Wire,Wire,Wire,Wire,Box,MCB,MCB,Socket,Box,Rose,Holder,Light,Switch,Bell,Switch,Channel,S",Ministry of Environment Forest and Climate Change NA,20-01-2024 05:10:15,GEM BOT
GEM_2024_B_4506476,"LVL SWITCH, AL-ADF-RV1, 5",Ministry of Petroleum and Natural Gas Bharat Petroleum Corporation Ltd,20-01-2024 05:10:55,GEM BOT
GEM_2024_B_4507069,"SCH1,SCH2,SCH3,SCH4,SCH5 (Switch socket)",Ministry of Defence Department of Defence,20-01-2024 05:11:12,GEM BOT
GEM_2024_B_4508053,"Layer 3 Manageable switch,Patch panel,Patch Cord 1 Mtr,Patch Cord 2 Mtr,In Out Box,U T P Tagging,Fl",Ministry of Defence Department of Military Affairs,20-01-2024 05:11:45,GEM BOT
GEM_2024_B_4509859,"Gas Changing,Drain Filter,Old Relay,Push Button Switch,Thermo Slot",Ministry of Defence Department of Military Affairs,20-01-2024 05:12:35,GEM BOT
2024_CEDPW_882882_11,Special Repair Work Of Jhala Kalan Link Road In District Bahraich Using Dept. HMP (Vidhan Sabha-Nanpara),Chief Engineer Devipatan (Gonda) Zone PWD Gonda||SE Bahraich - Shravasti Circle PWD Bahraich,20-01-2024 05:12:16,Etenders UP NIC BOT
GEM_2024_B_4451551,"FRLS PVC insulatred wire,Switch piano type single way,Ceiling rose 3 ternimal polycorbonate or PVC,",Ministry of Defence Department of Military Affairs,20-01-2024 05:12:43,GEM BOT
GEM_2024_B_4510454,"ASSY HEAD LAMP LH LUMAX,LAMP UNIT VEHICULAR,ARMATURE ASSY,SOLENOID SWITCH,FIELD COIL ASSY,BRUSH GEA",Ministry of Defence Department of Military Affairs,20-01-2024 05:13:15,GEM BOT
GEM_2024_B_4510409,"Solenoid Switch 24V,Ram Assy,Field Coil,Brush Carrier,Clutch Booster,Door Mechanism,Speedometer Sen",Ministry of Defence Department of Military Affairs,20-01-2024 05:13:24,GEM BOT
GEM_2024_B_4510437,"UPS 2 2 KVA Offline,Printer Epson 3210,BenQ Projector TH585P,Smart Managable Switch 24 Port,USB Cab",Ministry of Defence Department of Military Affairs,20-01-2024 05:12:50,GEM BOT
GEM_2024_B_4510508,"Piano Type Non Modular Domestic Electrical sockets - IS 1293,modular electrical switches and access",Ministry of Defence Department of Military Affairs,20-01-2024 05:13:04,GEM BOT
GEM_2024_B_4510714,"Window Glass Pane 24 inch x 18 inch,Tube light 4ft 20 Watt,5 Amp Switch Socket with PVC box,Wire Me",Ministry of Defence Department of Military Affairs,20-01-2024 05:13:33,GEM BOT
GEM_2024_B_4440338,"Microphone,Dante AVIO adapters,POE Switch and USB cable,5KVA online UPS,Camera,Installation and Pro",Ministry of Education Department of Higher Education,20-01-2024 05:13:50,GEM BOT
GEM_2024_B_4510665,"Adaptor,Adaptor,Adaptor,Wire,Door Limit Switch,Connector,Led Light,Seat Flush NO Switch,LDR Sensor,",Ministry of Home Affairs NA,20-01-2024 05:14:01,GEM BOT
GEM_2024_B_4510057,"DESKTOP COMPUTER,UPS,SWITCH,PRINTER,PROJECTOR",Ministry of Education Department of School Education and Literacy,20-01-2024 05:12:27,GEM BOT
GEM_2024_B_4510375,"8 CHANNEL NVR,4 MP IP IR BULLET CAMERA,4 TB SURVILANCE HDD,8 PORT POE SWITCH,CAT 6 D LINK OUTDOOR C",Rural Development Department,20-01-2024 05:12:57,GEM BOT
2024_CEMRT_882616_6,Special repair work of Chutmalpur Roorkee road to Hasanpur Badkalan road.,Cheif Engineer Meerut Zone PWD Meerut||SE SAHARANPUR CIRCLE PWD SAHARANPUR,20-01-2024 05:17:14,Etenders UP NIC BOT
2024_CEUCZ_882822_12,Renewal of Pangi Kalan Link Road,"Chief Engineer PWD Central Zone,Lucknow||S.E. UPPWD Sitapur||Construction Division-1, Khiri",20-01-2024 05:13:48,Etenders UP NIC BOT
GEM_2024_B_4505988,"CCTV 1 TB HARD DISK,DVR CCTV 16 CHENNEL,CCTV CAMERA,LAN PORT SWITCH,UTP CABLE 1.5 MM,Slide Changer,",Ministry of Defence Department of Military Affairs,20-01-2024 05:17:22,GEM BOT
GEM_2024_B_4506470,"16 channel NVR,5 MP IP bullet Camera,5 MP IP Dome camera,2 MP IP Pan Tilt Zoom camera,4 Tb Hard dis",Housing and Urban Development Department Jammu and Kashmir,20-01-2024 05:17:33,GEM BOT
GEM_2024_B_4504963,"Cat 6 UTP 23 AWG UTP Cable,8-Port PoE Gigabit Switch,Cat6 24 Port Unloaded UTP Patch Panel 1U Heigh",Home Department Odisha,20-01-2024 05:16:18,GEM BOT
GEM_2024_B_4505857,"PC Thin Client,PC Monitor,Keyboard and Mouse,16 Port Gigabit Ethernet Switch,4U Wall Mount Rack,Cat",Ministry of Health and Family Welfare Department of Health and Family Welfare,20-01-2024 05:16:40,GEM BOT
GEM_2023_B_4408534,"Bullet camera Make - Indian,16 channel NVR Make - Indian,Cat 6 copper cable,8 port POE switch,RJ 45",Ministry of Defence Department of Military Affairs,20-01-2024 05:15:46,GEM BOT
GEM_2024_B_4508868,"Switch,Switch board sheet,Power Socket,Socket,Bulb Holder,LED Tubes,Exaust Fan,Ceeling Fan,MCB,Elec",Ministry of Education Department of School Education and Literacy,20-01-2024 05:16:08,GEM BOT
GEM_2024_B_4472683,"4MP 80 Mtr Bullet Camera,4MP150 Mtr PTZ Camera,8 Port POE switch with 2 OFC Port,SFP Module,4U Rack",Ministry of Defence Department of Military Affairs,20-01-2024 05:14:34,GEM BOT
GEM_2023_B_4363868,"Layer 3 - Access Switch,Wireless Access Point (V2)",Ministry of Coal Materials Management,20-01-2024 05:16:31,GEM BOT
GEM_2024_B_4506803,"White paper or Panni roll,Classic Gel for gtk,Instant Camera Photo paper,Normal Black Back 8x9,Norm",Ministry of Defence Department of Military Affairs,20-01-2024 05:17:42,GEM BOT
GEM_2024_B_4501725,"GO PRO CAMERA,CAMERA CARRY BAG,CHARGER,HAND HELD LONG RANGE FINDER,RANGE FINDER COVER WITH STRIP",Ministry of Defence Department of Military Affairs,20-01-2024 05:18:21,GEM BOT
GEM_2024_B_4509203,"Konica Minolta Bizhub DRUM UNIT,Konica Minolta Bizhub DEV UNIT,Konica Minolta Bizhub IITU,Konica Mi",Ministry of Education Department of School Education and Literacy,20-01-2024 05:19:45,GEM BOT
GEM_2024_B_4506737,"BULLET CAMERAS,DOAM CAMERAS,DVR WITH 500GB HHD,CABLES,INSTALLATION WITH FITTING ACCESSORIES",Finance Department Jammu and Kashmir,20-01-2024 05:17:49,GEM BOT
GEM_2024_B_4506062,"Repair or replacement 2 MPBullet Camera,Repair or replacement 4MP Dome Camera,Repair or replacement",Ministry of Civil Aviation AAI Cargo Logistics and Allied Services Co Ltd,20-01-2024 05:18:07,GEM BOT
GEM_2024_B_4507116,"POWER CABLE 10 MTR,HDMI CABLE 20 MTR,MOUSE HP,KEY BOARD HP,VGA TO HDMI CONVERTOR,CAMERA CABLE JOINT",Ministry of Defence Department of Military Affairs,20-01-2024 05:17:58,GEM BOT
GEM_2024_B_4509027,"HD IR Dome,HD IR Bullet,HD PTZ,Camera Housing,120 GB Storage,Core Switch with 10G SFP,Distribution ",Home Department Maharashtra,20-01-2024 05:19:14,GEM BOT
GEM_2024_B_4508981,"86 inch interactive panel,Web Camera,Stand or Trolly,Fibre Optic HDMI,Mini PC",Ministry of Education Department of Higher Education,20-01-2024 05:18:36,GEM BOT
GEM_2023_B_4370641,"SANCHAR BODY WORN CAMERA SBWC 02,CHEST MOUNT,CHEST CLIP,SHOULDER VEST BELT,SHOULDER CLIP,HELMET MOU",Ministry of Defence Department of Military Affairs,20-01-2024 05:18:28,GEM BOT
GEM_2024_B_4509014,"camera,lens,MEMORY CARD,card reader,flash,battry,rechable battry,battry charger,gimbal stabilizer,t",General Administration Department Maharashtra,20-01-2024 05:19:36,GEM BOT
GEM_2024_B_4509113,"Desktop Computer With UPS and Installation,Interactive Pannal Display with OPS,Electronic Lectern,F",Technical Education Department Uttar Pradesh,20-01-2024 05:20:03,GEM BOT
GEM_2024_B_4490016,"20 km 1.25 G 1910 Single mode single fiber SFP module pair,2 Switch 4 port 2 ofc,Switch for server ",Ministry of Defence Department of Military Affairs,20-01-2024 05:19:26,GEM BOT
GEM_2024_B_4510262,"OTG Cable,BNC to BNC coupler,BNC to BNC female connector,N type female to BNC Female Conector,C typ",Ministry of Defence Department of Military Affairs,20-01-2024 05:20:47,GEM BOT
GEM_2024_B_4508402,"wall clock,artificial rose with pot,hot case,red cloth,ceiling light 18w,digital album,carpet wall ",Ministry of Defence Department of Military Affairs,20-01-2024 05:21:51,GEM BOT
GEM_2024_B_4510061,"CCTV CAMERA 2 BULLET DHAURA,MONITOR 19 2MP,IRON BOX 36X24X18 inch,SIRON,SPEAKER BOX,MEGHA PHONE,GS ",Ministry of Defence Department of Military Affairs,20-01-2024 05:21:03,GEM BOT
GEM_2024_B_4503499,"86 inch Interactive Displays,Conference Controller unit,Wired Chairman Unit,Wired Delegate Unit,Vid",Ministry of Education Department of Higher Education,20-01-2024 05:21:12,GEM BOT
GEM_2024_B_4510592,"Camera for CCTV System,Camera for CCTV System,Video Recorder for CCTV System (V2),Installation and ",Ministry of Defence Department of Military Affairs,20-01-2024 05:21:29,GEM BOT
GEM_2024_B_4505481,"Steel Box,Body Worn Camera,1.5 ton Ac,Modal of Enemy Tanks and BMPs,Fountain,Steel Lock",Ministry of Defence Department of Military Affairs,20-01-2024 05:22:04,GEM BOT
GEM_2024_B_4508495,"Interactive Panel,Electronic Lectern,Full HD Camera,Inverter,Battery",Technical Education Department Uttar Pradesh,20-01-2024 05:22:13,GEM BOT
GEM_2024_B_4510150,"5 MP Full HD Bullet IP Camera,64 Channel NVR with 8 Sata Ports with AI,RAID,4 Port All Giga Port Po",Urban Development Department Karnataka,20-01-2024 05:23:32,GEM BOT
GEM_2024_B_4509616,"cc tv camera,smoke detector,heat detector,room temperature monitor wet and dry,3kg co2 fire extingu",Ministry of Defence Department of Defence,20-01-2024 05:24:01,GEM BOT
GEM_2023_B_4407042,"85 inches Touch Interactive Smart Display with Movable Height Adjusting Stand,85 inches Smart LED D",Ministry of Civil Aviation Airports Authority of India (AAI),20-01-2024 05:23:22,GEM BOT
GEM_2024_B_4509438,CAMC of Infinova make and Sony make SCCTV Cameras along with all accessories as per enclosed list o,Ministry of Civil Aviation AAI Cargo Logistics and Allied Services Co Ltd,20-01-2024 05:23:53,GEM BOT
2024_HRY_346337_1,"Marwa Kalan village, laying of new water supply lines in Un-covered streets of Distt. Yamuna Nagar. (CM Window)",Haryana Government||Engineer- in- Chief PHED Panchkula||Ambala Circle||Naraingarh PHED,20-01-2024 05:43:13,HRYtenders GOV NICGEP BOT
2024_UPPRD_880313_12,GRAM SERWANSKALAN ME NALI NIRMAN,Panchayati Raj Department||Zila Panchayat Lalitpur,20-01-2024 05:17:43,Etenders UP NIC BOT
2024_TBBND_84298_1,Modification of Hall in Conference Hall in Langar Bhawan at Deotsidh,Trust Baba Balak Nath Temple Deotsidh,20-01-2024 05:31:31,HPtenders GOV NICGEP BOT
GEM_2024_B_4509398,"Microscope Body,Condenser,Stage,Fluorescence Illumination,Filter Cube System,Objectives,Camera,Cell",Ministry of Education Department of Higher Education,20-01-2024 05:24:30,GEM BOT
2024_HRY_341599_2,"Renovation of Sun City HUDA Dispensary in sector 54 at Gurugram (Providing CCTV camera system, LAN and EPABX system).",Haryana Government||Engineer-in-Chief PW(B and R) Department||SE (Elect.) Karnal||EE Elect. Gurgaon,20-01-2024 05:41:12,HRYtenders GOV NICGEP BOT
2024_HPSED_84278_1,Supply and Installation of CCTV Cameras in the High Court of Himachal Pradesh and District Judiciary of Himachal Pradesh Including Oversight Terminal at High Court of Himachal Pradesh,H.P. State Electronics Development Corp. Ltd||Computer Dept. Project Coordinator-HPSEDC||Computer Division-HPSEDC||Systems Analyst-HPSEDC,20-01-2024 05:30:19,HPtenders GOV NICGEP BOT
GEM_2024_B_4507249,Customized AMC/CMC for Pre-owned Products - Desktop Laptop Printer Scanner Server Video camera UPS ,Comptroller and Auditor General (CAG) of India NA,20-01-2024 05:24:10,GEM BOT
GEM_2024_B_4504441,"Video Camera,Accessories,Porta LED Light KIT,Still Camera,Carry Case for cameras",Department of Higher Education Madhya Pradesh,20-01-2024 05:24:38,GEM BOT
2024_HRY_346318_1,Supply of CCTV Camera along with 55 inch LED and Broadband for Lok Sabha General Election and Haryana Vidhan Sabha General Election 2024,"Haryana Government||Election Department||Election Office, Rohtak",20-01-2024 05:40:08,HRYtenders GOV NICGEP BOT
2024_HBC_346163_1,CCTV for Strong Room Counting Centre and Webcasting at Polling Stations in General Elections 2024,Haryana Board Corporation||Kurukshetra Development Board,20-01-2024 05:41:39,HRYtenders GOV NICGEP BOT
GEM_2024_B_4510240,"ANPR Camera,Hoop Bracket for ANPR camera,5MP Bullet Verifocal Camera,Vertical Pole Mount Bullet cam",Urban Development and Environment Department,20-01-2024 05:24:51,GEM BOT
2024_HRY_346295_1,COMPLETION OF HALL NEAR ARYA KANYA GURUKUL ON PANCHAYAT LAND IN VILLAGE PADHA BLOCK MUNAK DISTT. KARNAL,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Karnal,20-01-2024 06:00:51,HRYtenders GOV NICGEP BOT
2024_HRY_346301_1,CONST. OF B/WALL ON PANCHAYAT LAND NEAR AEYA KANYA GURUKUL VILLAGE MOR MAJRA BLOCK MUNAK DISTT. KARNAL,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Karnal,20-01-2024 06:01:15,HRYtenders GOV NICGEP BOT
2024_HBC_346196_1,Attending day to day complaints of sewerage and Attending day to day complaints of water supply line in Sector 1 Jail land and Sector 7 UE Ambala City complete in all respect,Haryana Board Corporation||HUDA||Division Ambala,20-01-2024 06:02:08,HRYtenders GOV NICGEP BOT
2024_RDPR_243270_12,DEVELOPMENT OF LANE H/O ABDUL GANI KHAN TOWADS TANTRAY MOHALLA AT ARIPAL,Rural Development and Panchayati Raj||RURAL DEVELOPMENT DEPARTMENT KASHMIR||Superintending Engineer REW Kashmir||XEN REW Pulwama,20-01-2024 06:00:58,J&KTenders GOV NICGEP BOT
2024_RDPR_243239_2,Tile work for lane in pyt rakhlachipur wno 2,Rural Development and Panchayati Raj||Directorate of Rural Development Department JAMMU||Superintending Engineer REW Jammu||XEN REW KATHUA,20-01-2024 06:03:14,J&KTenders GOV NICGEP BOT
2024_HRY_345998_1,"CONST. OF SHED IN SAMSHAN GHAT AT VILLAGE BAWANA GUJJAR , BLOCK KHOL, DISTT. REWARI (UNDER D. PLAN )",Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Rewari||SDO Khol,20-01-2024 06:01:41,HRYtenders GOV NICGEP BOT
2024_HRY_346088_1,"CONST. OF BOUNDARY WALL OF KHEL STADIUM AT VILLAGE BAWANA GUJJAR , BLOCK KHOL, DISTT. REWARI (UNDER D. PLAN )",Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Rewari||SDO Khol,20-01-2024 06:03:00,HRYtenders GOV NICGEP BOT
2024_HRY_346161_1,Const. of IPB Street from Vinod S/o Ram Kawar to Jai Kawar S/o Lakshman at Village Thana Kalan Block Kharkhoda SFC/GP,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Sonepat||SDE Panchayati Raj Kharkhoda,20-01-2024 06:05:19,HRYtenders GOV NICGEP BOT
2024_UPPRD_880313_97,TALBEHAT LANKA MAIDAN STITH RAINBASERA KI ATIRIKT BAUNDRYWALL OR UCHCHIKARAN KARYA,Panchayati Raj Department||Zila Panchayat Lalitpur,20-01-2024 05:42:39,Etenders UP NIC BOT
2024_PWDJK_243292_2,UpGradation of Langer to Margalla road by way of providing/laying 75mm thick WBM Grade II shingling Ist Layer.,PWD||CE PWD Jammu||Rajouri Circle||Nowshera Division,20-01-2024 06:03:48,J&KTenders GOV NICGEP BOT
2024_DOLBU_882578_13,NAGAR PALIKA KE WARD NO 09 MOHALLA AALKALAN SIFE DHOBI KE MAKAN KE PASS 7.5 H.P NALKOP ADHISTHAPAN KA KARYA,Directorate of Local Bodies UP||Nagar Palika Parishad Kairana Shamli,20-01-2024 06:03:23,Etenders UP NIC BOT
2024_HRY_345491_1,Saline and waterlogged land reclamation through Vertical drainagetechnology at Vill Mundhal Kalan,Haryana Government||Department of Haryana Agriculture||Divisional Soil Cons. Officer Bhiwani||Assistant Soil Cons. Officer Bhiwani,20-01-2024 06:08:42,HRYtenders GOV NICGEP BOT
2024_HAUDD_243276_4,Upgradation of Lane/drain from h/o Sh. Shrikant H.n0 149 to h.NO 155 H/o Chowdhary House at Shiva Colony Kunjwani ward 55 Jammu,HAUDD||Jammu Municipal Corporation,20-01-2024 06:06:06,J&KTenders GOV NICGEP BOT
2024_RDPR_243265_1,CONSTT. OF LANE AND FIXING OF TILES MOHALLA LABHA RAM GANDHI VILLAGE NANDPUR PYT CHAK NAZIR Block Ramgarh under the scheme MPLAD for the Year 2023-24,Rural Development and Panchayati Raj||Directorate of Rural Development Department JAMMU||Superintending Engineer REW Jammu||XEN REW SAMBA,20-01-2024 06:06:53,J&KTenders GOV NICGEP BOT
