tender_id,name_of_work,customer,inserted_time,inserted_user_id,verification_1,done
2024_DHA_114802_1,"Supply, Installation, Testing, Commissioning, Operations and Maintenance of City Surveillance and Traffic Management System with Command and Control Centre in S.A.S Nagar City, Punjab.",Department of Home Affairs||Punjab Police Housing Corporation,05-01-2024 08:10:56,PBTenders GOV NICGEP BOT,approved,Submitted
GEM_2023_B_4362259,Perimeter and corridor Area Video Surveillance system,PMO Department of Atomic Energy,07-01-2024 05:17:15,GEM BOT,approved,Submitted
GEM_2024_B_4439367,AMC of Integrated Security and Surveillance System - Outdoor Perimeter Security; Comprehensive; Har,PMO Department of Atomic Energy,07-01-2024 05:15:57,GEM BOT,approved,Submitted
GEM_2024_B_4441190,"Supply, Installation, Testing, Commissioning and CMC of CCTV Cameras",Ministry of Chemicals and Fertilizers Department of Fertilizers,07-01-2024 05:40:43,GEM BOT,approved,Submitted
