,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2024_RDPR_263940_18,Rural Development and Panchayati Raj||Directorate of Rural Development Department JAMMU||Superintending Engineer REW Jammu||XEN REW REASI,reasi,Const of CSC unit near Badnar mohalla in the land of Dharam Singh S/O Ram Saran,2024-12-02 17:55,2024-12-07 18:00,5940,,297000,02-12-2024 17:55:17,J&KTenders GOV NICGEP BOT
1,2024_RDPR_266545_11,Rural Development and Panchayati Raj||RURAL DEVELOPMENT DEPARTMENT KASHMIR||Superintending Engineer REW Kashmir||XEN REW Baramulla,Baramulla,"FENCING around GRAVEYARD at Dariyan W 3, C/O Drain from h/o Ab Aziz to Qasim Din Bala Gawalta . block paranpillan under Adp Pri",2024-12-02 17:00,2024-12-07 18:00,6200,,310000,02-12-2024 17:55:50,J&KTenders GOV NICGEP BOT
2,2024_RDPR_266545_7,Rural Development and Panchayati Raj||RURAL DEVELOPMENT DEPARTMENT KASHMIR||Superintending Engineer REW Kashmir||XEN REW Baramulla,Baramulla,C/O R WALL NEAR H/O MOHD. SALEEM AND OTHERS AT RAMGAI UNDER ADDITIONAL PLAN ADP/PRI YR 2024-2025 BLOCK -URI,2024-12-02 17:00,2024-12-07 18:00,4300,,215000,02-12-2024 17:56:48,J&KTenders GOV NICGEP BOT
3,2024_RDPR_266545_26,Rural Development and Panchayati Raj||RURAL DEVELOPMENT DEPARTMENT KASHMIR||Superintending Engineer REW Kashmir||XEN REW Baramulla,Baramulla,"C/O Drain ward No 1 to 4 NLO Gh Hassan Bhat and Others and C/O Road with drain at ward 2 and 3 at Gund Ibrahim ,under Area Development Plan ( PRI ) 2024-25 Block Singhpora",2024-12-02 17:00,2024-12-07 18:00,4000,,200000,02-12-2024 17:57:15,J&KTenders GOV NICGEP BOT
4,2024_RDPR_266545_5,Rural Development and Panchayati Raj||RURAL DEVELOPMENT DEPARTMENT KASHMIR||Superintending Engineer REW Kashmir||XEN REW Baramulla,Baramulla,C/o P/bund near H/o Mohd Yaseen joo to Zakir Mohallah Masjid Sharief at Nallah Ferozpora at GK Qasim under Area Development Plan ( PRI ) 2024-25 Block Sherabad khore,2024-12-02 17:00,2024-12-07 18:00,5920,,296000,02-12-2024 17:57:33,J&KTenders GOV NICGEP BOT
5,2024_SPORT_266657_1,J and K State Sports Council||Sports Council Construction Div Jammu,M.A STADIUM,"Construction of Main Board, Landscaping, Interlocking tiles and painting of fencing at Artificial Rock Climbing wall M.A Stadium Jammu 3RD time",2024-12-02 16:20,2024-12-12 17:00,11960,2024-12-06 12:00,598000,02-12-2024 17:57:52,J&KTenders GOV NICGEP BOT
6,2024_HAUDD_266453_1,HAUDD||Srinagar Development Authority,Srinagar,Development of various land parcels in Srinagar City on Public Private Partnetship PPP,2024-12-02 16:00,2024-12-23 16:00,0.00,2024-12-11 12:00,NA,02-12-2024 17:58:10,J&KTenders GOV NICGEP BOT
7,2024_HAUDD_266453_1,HAUDD||Srinagar Development Authority,Srinagar,Development of various land parcels in Srinagar City on Public Private Partnetship PPP,2024-12-02 16:00,2024-12-23 16:00,0.00,2024-12-11 12:00,NA,02-12-2024 17:59:05,J&KTenders GOV NICGEP BOT
8,2024_RDPR_266540_38,Rural Development and Panchayati Raj||Directorate of Rural Development Department JAMMU||Superintending Engineer REW Jammu||XEN REW SAMBA,Ghagwal,Construction of lane from link road to Primary school W.no.8 Mohalla jogian Pyt Ghagwal block Ghagwal under scheme PRI for year 2024-25,2024-12-02 18:00,2024-12-07 18:00,1746,,87300,02-12-2024 18:00:07,J&KTenders GOV NICGEP BOT
9,2024_RDPR_266623_8,Rural Development and Panchayati Raj||Directorate of Rural Development Department JAMMU||Superintending Engineer REW Jammu||XEN REW KATHUA,HIRANAGAR,1 Constt of Tile lane from H O Shamshewr Singh to the H O Balbir Singh others And 2 Constt of L D From link road to the H O Chatter Singh others W.No7 Pyt Loundi Hiranagar,2024-12-02 18:00,2024-12-09 16:00,6900,,345000,02-12-2024 18:00:34,J&KTenders GOV NICGEP BOT
10,2024_RDPR_266605_16,Rural Development and Panchayati Raj||Directorate of Rural Development Department JAMMU||Superintending Engineer REW Jammu||XEN REW REASI,Reasi,Const of Lane to the house of Vijay Kumar and others in ward no. 06 Bhangal Block Katra Pyt.AgharJitto Block Katra,2024-12-02 18:00,2024-12-07 18:00,4900,,245000,02-12-2024 18:00:53,J&KTenders GOV NICGEP BOT
11,2024_RDPR_266578_19,Rural Development and Panchayati Raj||RURAL DEVELOPMENT DEPARTMENT KASHMIR||Superintending Engineer REW Kashmir||XEN REW Anantnag,ANANTNAG,C/O tile lane from h/o mohd amin wani to mohd abbas dar furrah block vessu,2024-12-02 18:00,2024-12-09 18:01,2480,,124000,02-12-2024 18:01:16,J&KTenders GOV NICGEP BOT
12,2024_RDPR_266553_13,Rural Development and Panchayati Raj||Directorate of Rural Development Department JAMMU||Superintending Engineer REW Jammu||XEN REW JAMMU,JAMMU,const of lane and p/work n/h/o Ashok singh chib at wno.3 pyt ghaink block bhalwal scheme PRI(capex) 2024-25. (2nd Call) (Block level),2024-12-02 18:00,2024-12-09 18:00,2000,,100000,02-12-2024 18:01:50,J&KTenders GOV NICGEP BOT
13,2024_RDPR_266553_15,Rural Development and Panchayati Raj||Directorate of Rural Development Department JAMMU||Superintending Engineer REW Jammu||XEN REW JAMMU,JAMMU,const of lane and tile work at fouji banarasi lal wno.5 pyt ghaink block bhalwal scheme BDC(capex) 2024-25. (2nd Call) (Block level),2024-12-02 18:00,2024-12-09 18:00,3920,,196000,02-12-2024 18:02:11,J&KTenders GOV NICGEP BOT
14,2024_RDPR_266553_13,Rural Development and Panchayati Raj||Directorate of Rural Development Department JAMMU||Superintending Engineer REW Jammu||XEN REW JAMMU,JAMMU,const of lane and p/work n/h/o Ashok singh chib at wno.3 pyt ghaink block bhalwal scheme PRI(capex) 2024-25. (2nd Call) (Block level),2024-12-09 11:00,2024-12-09 18:00,2000,,100000,02-12-2024 18:02:30,J&KTenders GOV NICGEP BOT
15,2024_RDPR_266540_35,Rural Development and Panchayati Raj||Directorate of Rural Development Department JAMMU||Superintending Engineer REW Jammu||XEN REW SAMBA,Ghagwal,Construction of lane from h/o Subash chander to onwards and from link road to h/o master bias dev W.no.7 Randhwal Pyt Ghagwal block Ghagwal under scheme PRI for year 2024-25,2024-12-02 18:00,2024-12-07 18:00,1940,,97000,02-12-2024 18:02:48,J&KTenders GOV NICGEP BOT
16,2024_RDPR_266540_43,Rural Development and Panchayati Raj||Directorate of Rural Development Department JAMMU||Superintending Engineer REW Jammu||XEN REW SAMBA,Ghagwal,Construction of lane from H/o Sh. Madan lal towards canal at Chann Gudian Pyt.Nonath Block Ghagwal under Scheme BDC Capex for the year 2024-25.,2024-12-02 18:00,2024-12-07 18:00,1552,,77600,02-12-2024 18:03:07,J&KTenders GOV NICGEP BOT
17,2024_RDPR_266540_28,Rural Development and Panchayati Raj||Directorate of Rural Development Department JAMMU||Superintending Engineer REW Jammu||XEN REW SAMBA,Ghagwal,"Construction of lane in Mohalla Ashok singh,Jatinder singh,geeta devi and sham singh W.no.05,Jasath Pyt Ghagwal block Ghagwal under scheme PRI for year 2024-25",2024-12-02 18:00,2024-12-07 18:00,2424,,121200,02-12-2024 18:03:25,J&KTenders GOV NICGEP BOT
18,2024_RDPR_266540_20,Rural Development and Panchayati Raj||Directorate of Rural Development Department JAMMU||Superintending Engineer REW Jammu||XEN REW SAMBA,Ghagwal,Construction of c/path from irrigation canal to h/o sanjay kumar and Khem Raj at Muthi Kalan ward no.6 pyt. Naran block Ghagwal under scheme BDC for year 2024-25,2024-12-02 18:00,2024-12-07 18:00,970,,48500,02-12-2024 18:03:43,J&KTenders GOV NICGEP BOT
