,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
115,GEM/2025/B/6385017,Drone sensor integration and t...,1,2025-07-07 18:10,2025-07-17 19:00,Ministry of Defence Department of Military Affairs,Drone sensor integration and training equipment
116,GEM/2025/B/6389012,DRONE TRAINING SIMULATOR WITH ...,1,2025-06-26 19:43,2025-07-17 20:00,Ministry of Defence Department of Military Affairs,DRONE TRAINING SIMULATOR WITH COMPLETE ACCESSORIES
121,GEM/2025/B/6310519,FPV Drone with accessories,6,2025-06-27 12:19,2025-07-18 13:00,Ministry of Defence Department of Military Affairs,FPV Drone with accessories
122,GEM/2025/B/6390786,"drone,overhead,airconditioner,...",15,2025-06-28 11:49,2025-07-18 13:00,Ministry of Defence Department of Military Affairs,"drone,overhead,airconditioner,electric,revolving,gate,plate"
123,GEM/2025/B/6427817,Drone as a Service - As per th...,4,2025-07-08 12:29,2025-07-18 13:00,Ministry of Mines NA,Drone as a Service - As per the uploaded detailed document with the bid (SOW)
124,GEM/2025/B/6383123,Drone Surveillance Make in Ind...,6,2025-06-27 13:41,2025-07-18 14:00,Ministry of Defence Department of Military Affairs,"Drone Surveillance Make in India,Drone Controller,Spare Battery,Carry Bag,Memory Card"
125,GEM/2025/B/6313271,Surveillance Drone / Unmanned ...,3,2025-06-18 18:49,2025-07-18 19:00,Ministry of Defence Department of Military Affairs,"Surveillance Drone / Unmanned Aerial Vehicle (V2) (Defence Forces - Navy, Army and Air Force)"
126,GEM/2025/B/6301860,Surveillance Drone,1,2025-06-23 19:25,2025-07-18 20:00,Ministry of Defence Department of Military Affairs,Surveillance Drone
128,GEM/2025/B/6400611,"Integrated Drone Detector,Inte...",5,2025-07-08 20:48,2025-07-18 21:00,Ministry of Defence Department of Military Affairs,"Integrated Drone Detector,Integrated Drone Jammer,Power AC DC Charger Incl Lithium Ion Battery,Rugg"
129,GEM/2025/B/6422054,"Tello Drone,DGT Talc Sheet 5ft...",316,2025-07-08 22:30,2025-07-19 09:00,Ministry of Defence Department of Military Affairs,"Tello Drone,DGT Talc Sheet 5ft x 50 mtr,Nail 2.5 Inch,Nail 2 Inch,Anchor Rechargeable LED Bulb 12 W"
134,GEM/2025/B/6322658,AERIAL PLATFORM BASED HARD AND...,1,2025-06-28 18:58,2025-07-19 20:00,Ministry of Defence Department of Military Affairs,AERIAL PLATFORM BASED HARD AND SOFT KILL ANTI DRONE SYSTEM
135,GEM/2025/B/6354914,"CPU,Software,VR Headset,Radio ...",18,2025-06-30 21:12,2025-07-21 10:00,Ministry of Defence Department of Military Affairs,"CPU,Software,VR Headset,Radio Controller,LED,Drone"
136,GEM/2025/B/6380577,"Drone,Battery,Charger,Remote C...",30,2025-07-10 09:45,2025-07-21 10:00,Ministry of Defence Department of Military Affairs,"Drone,Battery,Charger,Remote Controller,VR FPV Goggles"
137,GEM/2025/B/6399566,"Drone repair table,Storage uni...",10,2025-06-30 18:39,2025-07-21 19:00,Ministry of Defence Department of Military Affairs,"Drone repair table,Storage unit,Electrical and safety power strip,Swirl overhead arm,Overhead light"
139,GEM/2025/B/6300422,FPV Kami Kaze Drone,1,2025-06-30 12:26,2025-07-22 13:00,Ministry of Defence Department of Military Affairs,FPV Kami Kaze Drone
140,GEM/2025/B/6375886,FPV Blaze Drone,2,2025-07-08 12:09,2025-07-22 13:00,Ministry of Defence Department of Military Affairs,FPV Blaze Drone
141,GEM/2025/B/6375834,Sky Hammer Drone,1,2025-07-08 12:36,2025-07-22 13:00,Ministry of Defence Department of Military Affairs,Sky Hammer Drone
142,GEM/2025/B/6328966,DRONE BASED UNMANNED AERIAL SU...,1,2025-06-26 13:51,2025-07-23 10:00,Ministry of Defence Department of Military Affairs,DRONE BASED UNMANNED AERIAL SURVEILLANCE SYSTEM INTEGRATED WITH GROUND BASED PERIMETER PROTECTION
144,GEM/2025/B/6302567,Drone training Simulator lab (...,18,2025-07-03 10:46,2025-07-24 10:00,Ministry of Defence Department of Military Affairs,Drone training Simulator lab (Trg Enclosures upgradation)
145,GEM/2025/B/6391868,Multi Roter Drone/UAV,15,2025-07-03 16:01,2025-07-24 17:00,Ministry of Science and Technology Department of Science and Technology (DST),Multi Roter Drone/UAV
146,GEM/2025/B/6391723,Fixed Wing Drone/UAV,20,2025-07-03 16:02,2025-07-24 17:00,Ministry of Science and Technology Department of Science and Technology (DST),Fixed Wing Drone/UAV
147,GEM/2025/B/6378398,RF Based Counter Drone Mechani...,1,2025-07-03 17:44,2025-07-24 18:00,Ministry of Defence Department of Military Affairs,RF Based Counter Drone Mechanism in AFVs
148,GEM/2025/B/6328014,Mini Wind Tunnel with Aerofoil...,46,2025-07-03 18:53,2025-07-24 19:00,Ministry of Defence Department of Military Affairs,"Mini Wind Tunnel with Aerofoil Shapes,Propeller Demonstration Kit,Interactive Drone Part Learning B"
149,GEM/2025/B/6327590,Drone with all acessory,2,2025-07-03 18:46,2025-07-24 19:00,Ministry of Defence Department of Military Affairs,Drone with all acessory
150,GEM/2025/B/6413207,"Wall Clock,Hedge Cutter,Samosa...",224,2025-07-03 19:13,2025-07-24 20:00,Ministry of Defence Department of Military Affairs,"Wall Clock,Hedge Cutter,Samosam Paint,Jute Rope,Sand Bag,Aluminum Cabinet for Drone"
155,GEM/2025/B/6417302,Drone with DGCA registered UIN,1,2025-07-04 17:29,2025-07-25 18:00,Ministry of Electronics and Information Technology Department of Electronics and Information Technology,Drone with DGCA registered UIN
156,GEM/2025/B/6404056,DRONE TRAINING SIMULATOR LAB,1,2025-07-04 18:47,2025-07-25 19:00,Ministry of Defence Department of Military Affairs,DRONE TRAINING SIMULATOR LAB
157,GEM/2025/B/6423010,Micro Drone and Other Accessor...,1,2025-07-07 10:54,2025-07-28 11:00,Ministry of Electronics and Information Technology Department of Electronics and Information Technology,Micro Drone and Other Accessories
159,GEM/2025/B/6309163,GIS related Survey Services - ...,525,2025-07-07 09:56,2025-07-28 16:00,Ministry of Steel KIOCL Limited,GIS related Survey Services - Hectares; Conducting drone survey and preparation of digital aerial i
160,GEM/2025/B/6428104,DRONE,1,2025-07-08 12:47,2025-07-29 13:00,Ministry of Electronics and Information Technology Department of Electronics and Information Technology,DRONE
161,GEM/2025/B/6430295,Drone Autel Evo II Pro V3 Rugg...,1,2025-07-08 17:34,2025-07-29 18:00,Ministry of Electronics and Information Technology Department of Electronics and Information Technology,Drone Autel Evo II Pro V3 Rugged Bundle
162,GEM/2025/B/6429979,Drone DJI Inspire,1,2025-07-08 17:02,2025-07-29 18:00,Ministry of Electronics and Information Technology Department of Electronics and Information Technology,Drone DJI Inspire
163,GEM/2025/B/6430723,FPV DRONE,2,2025-07-08 18:58,2025-07-29 19:00,Ministry of Defence Department of Military Affairs,FPV DRONE
164,GEM/2025/B/6407638,Drone as a Service - As per th...,1,2025-07-03 15:33,2025-07-30 09:00,Ministry of Defence Department of Defence Research & Development,Drone as a Service - As per the uploaded detailed document with the bid (SOW)
166,GEM/2025/B/6432005,Work Station for Drone Repair ...,11,2025-07-09 10:49,2025-07-30 11:00,Ministry of Defence Department of Military Affairs,"Work Station for Drone Repair Lab,Cabinet for Drone Repair Lab,LED Lights Orients for Drone Repair "
167,GEM/2025/B/6431353,PROCUREMENT AND INSTALLATION O...,2,2025-07-09 09:41,2025-07-30 11:00,Ministry of Defence Department of Military Affairs,PROCUREMENT AND INSTALLATION OF ANTI DRONE JAMMING RIFLES
168,GEM/2025/B/6355710,COMPACT SDR SURVEILLANCE DRONE,1,2025-07-09 12:48,2025-07-30 13:00,Ministry of Defence Department of Military Affairs,COMPACT SDR SURVEILLANCE DRONE
169,GEM/2025/B/6433793,"FPV DRONE UNIT,GROUND CONTROL ...",12,2025-07-09 17:50,2025-07-30 16:00,Ministry of Defence Department of Military Affairs,"FPV DRONE UNIT,GROUND CONTROL STATION,BATTERY,CHARGERS,GOGGLES,TOOLS"
171,GEM/2025/B/6433846,CE010370006: Small Category Dr...,1,2025-07-09 15:23,2025-08-08 16:00,Ministry of Coal Materials Management,"CE010370006: Small Category Drone with Lidar Payload with All Accessories. , QTY: 1 No."
172,GEM/2025/B/6279442,"DIGITAL MICROSCOPE FOR PCBs,SO...",6,2025-07-05 09:13,2025-08-19 09:00,Ministry of Defence Department of Military Affairs,"DIGITAL MICROSCOPE FOR PCBs,SOLDERING PREHEATING PLATE,REFLOW OVEN,THRUST STAND FOR DRONE,ULTRASONI"
