,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
2,GEM/2024/B/4930144,Netra Quadcopter UAV Battery,2,2024-05-09 18:42,2024-06-05 09:00,Ministry of Defence Department of Military Affairs,Netra Quadcopter UAV Battery
3,GEM/2024/B/4948423,Procurement of UAV with Multis...,1,2024-05-16 10:24,2024-06-06 14:00,Department of Space Department of Space,Procurement of UAV with Multispectral and Thermal Sensor with one year standard warranty.
5,GEM/2024/B/4985981,Custom Bid for Services - Hiri...,1,2024-05-28 17:17,2024-06-10 11:00,Ministry of Coal COAL INDIA LIMITED,Custom Bid for Services - Hiring of UAV system Drone along with pilot for Surveillance of Mines of 
7,GEM/2024/B/4957659,Procurement Of 02 Nos. Of Dron...,1,2024-05-18 11:48,2024-06-10 15:00,"Ministry of Ports, Shipping and Waterways NA",Procurement Of 02 Nos. Of Drone (UAV) For CISF Unit DPA Kandla
8,GEM/2024/B/4964456,"UAV Model for War memorial,Tin...",252,2024-05-20 20:05,2024-06-10 21:00,Ministry of Defence Department of Military Affairs,"UAV Model for War memorial,Tin Sheet,Welding Rod,Flap Disk,Garden Light 5 Watt,Garden Light,Acrylic"
13,GEM/2024/B/4976850,Drone/UAV with RGB Camera,1,2024-05-24 13:31,2024-06-14 14:00,Ministry of Education Department of Higher Education,Drone/UAV with RGB Camera
20,GEM/2024/B/5005467,UAV AIRCRAFT SEARCHER COVER,2,2024-06-03 07:09,2024-06-24 10:00,Ministry of Defence Department of Military Affairs,UAV AIRCRAFT SEARCHER COVER
21,GEM/2024/B/4834349,PROCUREMENT AND INSTALLATION O...,1,2024-06-01 11:01,2024-06-24 11:00,Ministry of Defence Department of Military Affairs,PROCUREMENT AND INSTALLATION OF WTPL ANTI-DRONE UAV JAMMERS AT MO(GOA)
