,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
94,GEM/2025/B/6089620,PROCUREMENT AND INSTALLATION O...,1,2025-04-04 16:22,2025-04-25 17:00,Ministry of Defence Department of Military Affairs,PROCUREMENT AND INSTALLATION OIF CCTV SURVEILLANCE SYSTEM
96,GEM/2025/B/6133143,AMC of Integrated Security and...,1,2025-04-11 13:17,2025-04-26 13:00,Education Department Gujarat,"AMC of Integrated Security and Surveillance System - Remote Video Monitoring, CWAN & CCTTV AMC; Com"
97,GEM/2025/B/6113889,INTEGRATED SECURITY SURVEILLAN...,1,2025-04-07 15:12,2025-04-28 09:00,Ministry of Communications Department of Telecommunications (DOT),INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - As per attached tender document; As per attached 
99,GEM/2025/B/5959500,"Surveillance Hard disk,Surveil...",30,2025-04-06 13:14,2025-04-28 14:00,Ministry of Coal COAL INDIA LIMITED,"Surveillance Hard disk,Surveillance Hard disk"
101,GEM/2025/B/5935962,INTEGRATED SECURITY SURVEILLAN...,1,2025-04-11 17:50,2025-04-28 15:00,Ministry of Information and Broadcasting Ministry of Information and Broadcasting,INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Remote Video Monitoring; eSATA; Ability to archiv
102,GEM/2025/B/6111563,PROCUREMENT OF NETWORK CONTROL...,2,2025-04-07 16:44,2025-04-28 17:00,Ministry of Defence Department of Military Affairs,PROCUREMENT OF NETWORK CONTROL KEYBOARD (JOYSTICK) FOR CCTV SURVEILLANCE SYSTEM
103,GEM/2025/B/6111481,PROCUREMENT AND INSTALLATION O...,1,2025-04-07 16:35,2025-04-28 17:00,Ministry of Defence Department of Military Affairs,PROCUREMENT AND INSTALLATION OF GPS NETWORK TIME SERVER FOR CCTV SURVEILLANCE SYSTEM
104,GEM/2025/B/6069662,Server Based CCTV Surveillance...,1,2025-03-20 13:57,2025-04-29 10:00,Ministry of Defence Department of Defence Production,Server Based CCTV Surveillance System
105,GEM/2025/B/6117907,INTEGRATED SECURITY SURVEILLAN...,1,2025-04-08 09:50,2025-04-29 11:00,PMO Department of Atomic Energy,"INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - SUPPLY, INSTALLATION AND COMMISSIONING OF CCTV SU"
107,GEM/2025/B/6122134,Purchase of surveillance CCTV ...,1,2025-04-08 12:31,2025-04-29 13:00,Ministry of Power NA,Purchase of surveillance CCTV camera
108,GEM/2025/B/5946647,Standalone LOng Range Surveill...,5,2025-04-09 11:20,2025-04-30 12:00,Ministry of Defence Department of Military Affairs,Standalone LOng Range Surveillance System
109,GEM/2025/B/6010584,Custom Bid for Services - Supp...,1,2025-03-12 15:31,2025-04-30 15:00,Ministry of Coal NLC India Limited,Custom Bid for Services - Supply Installation Testing and Commissioning SITC of CCTV Surveillance c
111,GEM/2025/B/6097688,INTEGRATED SECURITY SURVEILLAN...,1,2025-04-10 11:28,2025-05-01 12:00,Ministry of Defence Department of Defence Research & Development,INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Outdoor Perimeter Security; Recording Devices; Hi
113,GEM/2025/B/6081988,AMC of Integrated Security and...,1,2025-04-11 12:17,2025-05-02 12:00,Ministry of Defence Department of Military Affairs,"AMC of Integrated Security and Surveillance System - Theft Prevention, Remote Video Monitoring, Mon"
115,GEM/2025/B/6134189,AMC of Integrated Security and...,1,2025-04-11 15:10,2025-05-02 16:00,Ministry of Defence Department of Military Affairs,"AMC of Integrated Security and Surveillance System - Facility/Asset Protection, Outdoor Perimeter S"
117,GEM/2025/B/6122369,Surveillance Quadcopter,1,2025-04-11 22:46,2025-05-03 09:00,Ministry of Defence Department of Military Affairs,Surveillance Quadcopter
118,GEM/2025/B/6112964,"NVR 16 Channel 4K 2HD,HDD 4 TB...",139,2025-04-12 14:22,2025-05-03 15:00,Ministry of Defence Department of Military Affairs,"NVR 16 Channel 4K 2HD,HDD 4 TB Surveillance,L2 Switch 12 Port,Display Panel,Network rack 42U,UTP Ca"
119,GEM/2025/B/6137156,Vision Based Aerial Surveillan...,4,2025-04-12 17:26,2025-05-03 18:00,Ministry of Defence Department of Military Affairs,Vision Based Aerial Surveillance System (VIBASS)
120,GEM/2025/B/6084337,AMC of Integrated Security and...,1,2025-04-10 17:24,2025-05-08 20:00,Ministry of Defence Department of Military Affairs,AMC of Integrated Security and Surveillance System - Health Monitoring Solution for CCTV System; Co
121,GEM/2025/B/6137595,AMC of Integrated Security and...,1,2025-04-13 12:16,2025-05-13 13:00,Home Department Kerala,"AMC of Integrated Security and Surveillance System - Vehicle Management, Public Safety, Traffic Mon"
