,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2025_PHEO_110971_1,PHEO||PH Circle Balasore||PH Division Balasore,Soro Municipality,"Replacement of distribution network in ward no.02,03,09,10,11,12 and 16 of Soro Municipality",2025-02-21 11:00,2025-03-04 17:00,28000,,2774000,01-03-2025 18:54:20,Tendersodisha GOV BOT
1,2025_PHEO_110973_1,PHEO||PH Circle Balasore||PH Division Balasore,Jaleswar Municipality,Improvement of water supply with extension of distribution network including source development by sinking 200 mm dia production well including commissioning with pumping mechinary etc. at Santia Dakhina Sahi of ward o.10 under Jaleswar Municipality,2025-02-21 11:00,2025-03-04 17:00,27000,,2636000,01-03-2025 18:56:20,Tendersodisha GOV BOT
2,2025_PHEO_110900_1,PHEO||PH Circle Balasore||PH Division Balasore,Soro Municipality,Replacement of distribution network under drain in different wards of Soro Municipality,2025-02-19 11:00,2025-03-06 17:00,87000,,8683000,01-03-2025 18:56:39,Tendersodisha GOV BOT
